src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741862626,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862649,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862650,40,1427.275448,
172.20.154.248,34.254.182.186,6,74,1970-01-01 00:00:01.741862654,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,74,1970-01-01 00:00:01.741862654,10,24.3197,
172.20.154.248,34.254.182.186,6,66,1970-01-01 00:00:01.741862654,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1970-01-01 00:00:01.741862654,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1970-01-01 00:00:01.741862655,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1970-01-01 00:00:01.741862657,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1970-01-01 00:00:01.741862659,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,296,1970-01-01 00:00:01.741862659,373,1625.965925,
172.20.154.248,34.254.182.186,6,475,1970-01-01 00:00:01.741862664,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1970-01-01 00:00:01.741862674,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,66,1970-01-01 00:00:01.741862675,10,24.3197,
34.254.182.186,172.20.154.248,6,1114,1970-01-01 00:00:01.741862677,10,24.3197,
34.254.182.186,172.20.154.248,6,1638,1970-01-01 00:00:01.741862677,10,24.3197,
34.254.182.186,172.20.154.248,6,437,1970-01-01 00:00:01.741862677,10,24.3197,
172.20.154.248,34.254.182.186,6,66,1970-01-01 00:00:01.741862677,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,192,1970-01-01 00:00:01.741862677,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,66,1970-01-01 00:00:01.741862678,10,24.3197,
34.254.182.186,172.20.154.248,6,340,1970-01-01 00:00:01.741862678,10,24.3197,
172.20.154.248,34.254.182.186,6,66,1970-01-01 00:00:01.741862678,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,365,1970-01-01 00:00:01.741862678,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,648,1970-01-01 00:00:01.741862678,10,24.3197,
34.254.182.186,172.20.154.248,6,97,1970-01-01 00:00:01.741862678,10,24.3197,
172.20.154.248,34.254.182.186,6,54,1970-01-01 00:00:01.741862678,76,1614.262326,0.3
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862683,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862684,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862716,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862717,40,1427.275448,
172.20.144.1,224.0.0.251,17,296,1970-01-01 00:00:01.741862723,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862752,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862752,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862787,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862787,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862823,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862823,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862859,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862859,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862894,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862894,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862929,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862929,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741862964,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741862965,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863000,76,1614.262326,0.3
