src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.144.1,224.0.0.251,17,325,1741862626.604302,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741862649.904943,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741862650.603669,40,1427.275448,
172.20.154.248,34.254.182.186,6,74,1741862654.395577,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,74,1741862654.597019,10,24.319700,
172.20.154.248,34.254.182.186,6,66,1741862654.597283,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1741862654.617456,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1741862655.244391,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1741862655.864331,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1741862657.104354,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1741862659.584679,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,296,1741862659.668043,373,1625.965925,
172.20.154.248,34.254.182.186,6,475,1741862664.550495,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,475,1741862674.944377,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,66,1741862675.250789,10,24.319700,
34.254.182.186,172.20.154.248,6,1114,1741862677.648215,10,24.319700,
34.254.182.186,172.20.154.248,6,1638,1741862677.648216,10,24.319700,
34.254.182.186,172.20.154.248,6,437,1741862677.648217,10,24.319700,
172.20.154.248,34.254.182.186,6,66,1741862677.648267,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,66,1741862677.648386,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,66,1741862677.648400,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,192,1741862677.696453,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,66,1741862678.289374,10,24.319700,
34.254.182.186,172.20.154.248,6,340,1741862678.289376,10,24.319700,
172.20.154.248,34.254.182.186,6,66,1741862678.289443,76,1614.262326,0.3
172.20.154.248,34.254.182.186,6,365,1741862678.291834,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,648,1741862678.576010,10,24.319700,
172.20.154.248,34.254.182.186,6,66,1741862678.594069,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,97,1741862678.799329,10,24.319700,
172.20.154.248,34.254.182.186,6,54,1741862678.799367,76,1614.262326,0.3
34.254.182.186,172.20.154.248,6,66,1741862678.916719,10,24.319700,
172.20.154.248,34.254.182.186,6,54,1741862678.916752,76,1614.262326,0.3
172.20.154.248,185.125.190.57,17,90,1741862683.842620,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741862684.102453,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741862716.793977,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741862717.190091,40,1427.275448,
172.20.144.1,224.0.0.251,17,296,1741862723.156743,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741862752.401438,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741862752.682894,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741862787.714712,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741862787.894539,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741862823.442833,76,1614.262326,0.3
